group,number,name,h264_fullhd_sdr,hevc_fullhd_sdr,hevc_fullhd_hdr,hevc_4k_sdr,hevc_4k_hdr
Los Angeles,6a,Los Angeles,https://sylvan.apple.com/Videos/comp_LA_A011_C003_DGRN_LNFIX_STAB_v57_SDR_PS_20181002_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_LA_A011_C003_DGRN_LNFIX_STAB_v57_SDR_PS_20181002_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_LA_A011_C003_DGRN_LNFIX_STAB_v57_HDR_PS_20181002_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_LA_A011_C003_DGRN_LNFIX_STAB_v57_SDR_PS_20181002_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_LA_A011_C003_DGRN_LNFIX_STAB_v57_HDR_PS_20181002_HDR_4K_HEVC.mov
New York City,1,New York City,http://a1.v2.phobos.apple.com.edgesuite.net/us/r1000/000/Features/atv/AutumnResources/videos/b1-3.mov,,,,
New York City,2a,New York City,https://sylvan.apple.com/Videos/comp_N013_C004_PS_v01_SDR_PS_20180925_F1970F7193_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N013_C004_PS_v01_SDR_PS_20180925_F1970F7193_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N013_C004_PS_v01_HDR_PS_20180925_F1970F7193_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N013_C004_PS_v01_SDR_PS_20180925_F1970F7193_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N013_C004_PS_v01_HDR_PS_20180925_F1970F7193_HDR_4K_HEVC.mov
New York City,3a,New York City,https://sylvan.apple.com/Videos/comp_N003_C006_PS_v01_SDR_PS_20180925_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N003_C006_PS_v01_SDR_PS_20180925_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N003_C006_PS_v01_HDR_PS_20180925_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N003_C006_PS_v01_SDR_PS_20180925_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N003_C006_PS_v01_HDR_PS_20180925_HDR_4K_HEVC.mov
New York City,4a,New York City,https://sylvan.apple.com/Videos/comp_N008_C003_PS_v01_SDR_PS_20180925_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C003_PS_v01_SDR_PS_20180925_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C003_PS_v01_HDR_PS_20180925_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C003_PS_v01_SDR_PS_20180925_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C003_PS_v01_HDR_PS_20180925_HDR_4K_HEVC.mov
New York City,5a,New York City,https://sylvan.apple.com/Videos/comp_N008_C009_PS_v01_SDR_PS_20180925_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C009_PS_v01_SDR_PS_20180925_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C009_PS_v01_HDR_PS_20180925_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C009_PS_v01_SDR_PS_20180925_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_N008_C009_PS_v01_HDR_PS_20180925_HDR_4K_HEVC.mov
San Francisco,1a,San Francisco,https://sylvan.apple.com/Videos/comp_A015_C018_0128ZS_v03_SDR_PS_FINAL_20180709__SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A015_C018_0128ZS_v03_SDR_PS_FINAL_20180709__SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A015_C018_0128ZS_v03_HDR_PS_FINAL_20180710_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A015_C018_0128ZS_v03_SDR_PS_FINAL_20180709__SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A015_C018_0128ZS_v03_HDR_PS_FINAL_20180710_HDR_4K_HEVC.mov
San Francisco,2,San Francisco,http://a1.v2.phobos.apple.com.edgesuite.net/us/r1000/000/Features/atv/AutumnResources/videos/b2-4.mov,,,,
San Francisco,3a,San Francisco,https://sylvan.apple.com/Videos/comp_A012_C014_1223PT_v53_SDR_PS_FINAL_20180709_F0F8700_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A012_C014_1223PT_v53_SDR_PS_FINAL_20180709_F0F8700_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A012_C014_1223PT_v53_HDR_PS_FINAL_20180710_F0F8700_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A012_C014_1223PT_v53_SDR_PS_FINAL_20180709_F0F8700_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A012_C014_1223PT_v53_HDR_PS_FINAL_20180710_F0F8700_HDR_4K_HEVC.mov
San Francisco,4,San Francisco,http://a1.v2.phobos.apple.com.edgesuite.net/us/r1000/000/Features/atv/AutumnResources/videos/b4-3.mov,,,,
San Francisco,5,San Francisco,http://a1.v2.phobos.apple.com.edgesuite.net/us/r1000/000/Features/atv/AutumnResources/videos/b5-3.mov,,,,
San Francisco,6,San Francisco,http://a1.v2.phobos.apple.com.edgesuite.net/us/r1000/000/Features/atv/AutumnResources/videos/b6-4.mov,,,,
San Francisco,7a,San Francisco,https://sylvan.apple.com/Videos/comp_A007_C017_01156B_v02_SDR_PS_20180925_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A007_C017_01156B_v02_SDR_PS_20180925_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A007_C017_01156B_v02_HDR_PS_20180925_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A007_C017_01156B_v02_SDR_PS_20180925_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A007_C017_01156B_v02_HDR_PS_20180925_HDR_4K_HEVC.mov
San Francisco,8,San Francisco,http://a1.v2.phobos.apple.com.edgesuite.net/us/r1000/000/Features/atv/AutumnResources/videos/b8-2.mov,,,,
San Francisco,9,San Francisco,http://a1.v2.phobos.apple.com.edgesuite.net/us/r1000/000/Features/atv/AutumnResources/videos/b8-3.mov,,,,
San Francisco,10a,San Francisco,https://sylvan.apple.com/Videos/comp_A006_C003_1219EE_CC_v01_SDR_PS_FINAL_20180709_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A006_C003_1219EE_CC_v01_SDR_PS_FINAL_20180709_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A006_C003_1219EE_CC_v01_HDR_PS_FINAL_20180710_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A006_C003_1219EE_CC_v01_SDR_PS_FINAL_20180709_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A006_C003_1219EE_CC_v01_HDR_PS_FINAL_20180710_HDR_4K_HEVC.mov
San Francisco,11a,San Francisco,https://sylvan.apple.com/Videos/comp_A008_C007_011550_CC_v01_SDR_PS_FINAL_20180709_SDR_2K_AVC.mo,https://sylvan.apple.com/Aerials/2x/Videos/comp_A008_C007_011550_CC_v01_SDR_PS_FINAL_20180709_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A008_C007_011550_CC_v01_HDR_PS_FINAL_20180710_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A008_C007_011550_CC_v01_SDR_PS_FINAL_20180709_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A008_C007_011550_CC_v01_HDR_PS_FINAL_20180710_HDR_4K_HEVC.mov
San Francisco,12,San Francisco,https://sylvan.apple.com/Videos/comp_A013_C012_0122D6_CC_v01_SDR_PS_FINAL_20180709_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A013_C012_0122D6_CC_v01_SDR_PS_FINAL_20180709_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A013_C012_0122D6_CC_v01_HDR_PS_FINAL_20180710_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A013_C012_0122D6_CC_v01_SDR_PS_FINAL_20180709_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_A013_C012_0122D6_CC_v01_HDR_PS_FINAL_20180710_HDR_4K_HEVC.mov
San Francisco,13,San Francisco,https://sylvan.apple.com/Videos/comp_1223LV_FLARE_v21_SDR_PS_FINAL_20180709_F0F5700_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_1223LV_FLARE_v21_SDR_PS_FINAL_20180709_F0F5700_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_1223LV_FLARE_v21_HDR_PS_FINAL_20180710_F0F5700_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_1223LV_FLARE_v21_SDR_PS_FINAL_20180709_F0F5700_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/comp_1223LV_FLARE_v21_HDR_PS_FINAL_20180710_F0F5700_HDR_4K_HEVC.mov
Undersea,1,Alaskan Jellies,https://sylvan.apple.com/Videos/AK_A004_C012_SDR_20191217_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/AK_A004_C012_SDR_20191217_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/AK_A004_C012_HDR_20191217_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/AK_A004_C012_SDR_20191217_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/AK_A004_C012_HDR_20191217_HDR_4K_HEVC.mov
Undersea,2,Alaskan Jellies,https://sylvan.apple.com/Videos/g201_AK_A003_C014_SDR_20191113_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_AK_A003_C014_SDR_20191113_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_AK_A003_C014_HDR_20191028_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_AK_A003_C014_SDR_20191113_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_AK_A003_C014_HDR_20191028_HDR_4K_HEVC.mov
Undersea,3,Barracudas,https://sylvan.apple.com/Videos/BO_A018_C029_SDR_20190812_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A018_C029_SDR_20190812_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A018_C029_HDR_20190812_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A018_C029_SDR_20190812_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A018_C029_HDR_20190812_HDR_4K_HEVC.mov
Undersea,4,Bumpheads,https://sylvan.apple.com/Videos/BO_A014_C008_SDR_20190719_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C008_SDR_20190719_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C008_HDR_20190719_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C008_SDR_20190719_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C008_HDR_20190719_HDR_4K_HEVC.mov
Undersea,5,California Dolphins,https://sylvan.apple.com/Videos/DL_B002_C011_SDR_20191122_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/DL_B002_C011_SDR_20191122_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/DL_B002_C011_HDR_20191122_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/DL_B002_C011_SDR_20191122_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/DL_B002_C011_HDR_20191122_HDR_4K_HEVC.mov
Undersea,6,California Kelp Forest,https://sylvan.apple.com/Videos/g201_CA_A016_C002_SDR_20191114_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_CA_A016_C002_SDR_20191114_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_CA_A016_C002_HDR_20191114_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_CA_A016_C002_SDR_20191114_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_CA_A016_C002_HDR_20191114_HDR_4K_HEVC.mov
Undersea,7,Costa Rica Dolphins,https://sylvan.apple.com/Videos/CR_A009_C007_SDR_20191113_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/CR_A009_C007_SDR_20191113_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/CR_A009_C007_HDR_20191113_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/CR_A009_C007_SDR_20191113_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/CR_A009_C007_HDR_20191113_HDR_4K_HEVC.mov
Undersea,8,Cownose Rays,https://sylvan.apple.com/Videos/MEX_A006_C008_SDR_20190923_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/MEX_A006_C008_SDR_20190923_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/MEX_A006_C008_HDR_20190923_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/MEX_A006_C008_SDR_20190923_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/MEX_A006_C008_HDR_20190923_HDR_4K_HEVC.mov
Undersea,9,Gray Reef Sharks,https://sylvan.apple.com/Videos/FK_U009_C004_SDR_20191220_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/FK_U009_C004_SDR_20191220_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/FK_U009_C004_HDR_20191220_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/FK_U009_C004_SDR_20191220_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/FK_U009_C004_HDR_20191220_HDR_4K_HEVC.mov
Undersea,10,Humpback Whale,https://sylvan.apple.com/Videos/g201_WH_D004_L014_SDR_20191031_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_WH_D004_L014_SDR_20191031_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_WH_D004_L014_HDR_20191031_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_WH_D004_L014_SDR_20191031_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_WH_D004_L014_HDR_20191031_HDR_4K_HEVC.mov
Undersea,11,Jacks,https://sylvan.apple.com/Videos/BO_A014_C023_SDR_20190717_F240F3709_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C023_SDR_20190717_F240F3709_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C023_HDR_20190717_F240F3709_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C023_SDR_20190717_F240F3709_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A014_C023_HDR_20190717_F240F3709_HDR_4K_HEVC.mov
Undersea,12,Kelp,https://sylvan.apple.com/Videos/KP_A010_C002_SDR_20190717_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/KP_A010_C002_SDR_20190717_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/KP_A010_C002_HDR_20190717_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/KP_A010_C002_SDR_20190717_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/KP_A010_C002_HDR_20190717_HDR_4K_HEVC.mov
Undersea,13,Palau Coral,https://sylvan.apple.com/Videos/PA_A004_C003_SDR_20190719_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A004_C003_SDR_20190719_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A004_C003_HDR_20190719_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A004_C003_SDR_20190719_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A004_C003_HDR_20190719_HDR_4K_HEVC.mov
Undersea,14,Palau Jellies,https://sylvan.apple.com/Videos/PA_A001_C007_SDR_20190717_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A001_C007_SDR_20190717_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A001_C007_HDR_20190719_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A001_C007_SDR_20190717_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A001_C007_HDR_20190719_HDR_4K_HEVC.mov
Undersea,15,Palau Jellies,https://sylvan.apple.com/Videos/PA_A002_C009_SDR_20190730_ALT01_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A002_C009_SDR_20190730_ALT01_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A002_C009_HDR_20190730_ALT02_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A002_C009_SDR_20190730_ALT01_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A002_C009_HDR_20190730_ALT02_HDR_4K_HEVC.mov
Undersea,16,Palau Jellies,https://sylvan.apple.com/Videos/PA_A010_C007_SDR_20190717_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A010_C007_SDR_20190717_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/conform_PA_A010_C007_HDR_2019070_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/PA_A010_C007_SDR_20190717_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/conform_PA_A010_C007_HDR_2019070_HDR_4K_HEVC.mov
Undersea,17,Red Sea Coral,https://sylvan.apple.com/Videos/RS_A008_C010_SDR_20191218_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/RS_A008_C010_SDR_20191218_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/RS_A008_C010_HDR_20191218_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/RS_A008_C010_SDR_20191218_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/RS_A008_C010_HDR_20191218_HDR_4K_HEVC.mov
Undersea,18,Sea Stars,https://sylvan.apple.com/Videos/BO_A012_C031_SDR_20190726_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A012_C031_SDR_20190726_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A012_C031_HDR_20190726_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A012_C031_SDR_20190726_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/BO_A012_C031_HDR_20190726_HDR_4K_HEVC.mov
Undersea,19,Seals,https://sylvan.apple.com/Videos/SE_A016_C009_SDR_20190717_3m30s_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/SE_A016_C009_SDR_20190717_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/SE_A016_C009_HDR_20190717_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/SE_A016_C009_SDR_20190717_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/SE_A016_C009_HDR_20190717_HDR_4K_HEVC.mov
Undersea,20,Tahiti Waves,https://sylvan.apple.com/Videos/g201_TH_804_A001_8_SDR_20191031_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_804_A001_8_SDR_20191031_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_804_A001_8_HDR_20191031_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_804_A001_8_SDR_20191031_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_804_A001_8_HDR_20191031_HDR_4K_HEVC.mov
Undersea,21,Tahiti Waves,https://sylvan.apple.com/Videos/g201_TH_803_A001_8_SDR_20191031_SDR_2K_AVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_803_A001_8_SDR_20191031_SDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_803_A001_8_HDR_20191031_HDR_2K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_803_A001_8_SDR_20191031_SDR_4K_HEVC.mov,https://sylvan.apple.com/Aerials/2x/Videos/g201_TH_803_A001_8_HDR_20191031_HDR_4K_HEVC.mov
